t,X,Y
501,0.32214344,0.405204959
502,0.977244572,0.706677514
503,1.043957428,0.42849666
504,0.906288377,0.62047754
505,1.161077641,0.555681212
506,0.600006698,0.565380168
507,1.320002679,0.656586959
508,0.052789498,0.430313696
509,0.2027978,0.752903865
510,0.687810357,0.529389821
511,1.331992166,0.6594452
512,0.005359271,0.423892896
513,0.02135092,0.756339652
514,0.084036096,0.566292896
515,0.314958189,0.746623677
516,0.962236774,0.513549837
517,1.071248269,0.621242319
518,0.842274515,0.523124455
519,1.240818984,0.636751842
520,0.344380682,0.472097625
521,1.021728566,0.722186314
522,0.955126476,0.393220749
523,1.083706148,0.623225974
524,0.811567546,0.51855553
525,1.270344539,0.643471366
526,0.240052412,0.457786094
527,0.787334167,0.735409034
528,1.289651397,0.423712095
529,0.169003412,0.587561805
530,0.590327187,0.7204491
531,1.315850185,0.492503589
532,0.069015612,0.573926901
533,0.261772985,0.745778847
534,0.841516653,0.527217877
535,1.241615781,0.635168067
536,0.341633883,0.473884985
537,1.016394402,0.722698317
538,0.966404867,0.393547503
539,1.063804366,0.621969255
540,0.860178276,0.523770233
541,1.220993104,0.633582335
542,0.411499935,0.47986696
543,1.13800315,0.712529229
544,0.666859091,0.383610356
545,1.333333222,0.653703341
546,4.44E-07,0.431566019
547,1.78E-06,0.76048199
548,7.11E-06,0.564661892
549,2.84E-05,0.762037159
550,0.000113745,0.562136518
551,0.00045494,0.763011243
552,0.001819137,0.560450158
553,0.007266622,0.763355857
554,0.028908075,0.558275871
555,0.11312527,0.75946917
556,0.414109101,0.539661127
557,1.141977361,0.700845324
558,0.655572565,0.401841241
559,1.332964096,0.663465871
560,0.00147654,0.418008001
561,0.005899619,0.753968334
562,0.023494061,0.573671346
563,0.092320332,0.753996712
564,0.343712196,0.553426718
565,1.020434563,0.707183267
566,0.95787816,0.418226174
567,1.078920931,0.630081416
568,0.823472598,0.51180387
569,1.259569033,0.643916569
570,0.278733686,0.45936508
571,0.88185734,0.730188728
572,1.194412256,0.411124853
573,0.497787114,0.598287451
574,1.247772423,0.652728556
575,0.320281633,0.450207789
576,0.973385558,0.722614362
577,1.051103898,0.403324283
578,0.889957379,0.614606723
579,1.183757107,0.564720553
580,0.531185764,0.554782365
581,1.278268108,0.674341893
582,0.211164364,0.413558385
583,0.710886289,0.7247644
584,1.327467208,0.458671216
585,0.023361266,0.580954978
586,0.091807819,0.750476232
587,0.341945247,0.559152266
588,1.017001333,0.704881297
589,0.965130198,0.42264511
590,1.066091895,0.629998942
591,0.854711795,0.514403455
592,1.227250422,0.638060198
593,0.390570892,0.473163592
594,1.104646703,0.715478185
595,0.757853798,0.386055679
596,1.308388055,0.644053878
597,0.097914313,0.449441845
598,0.362895615,0.753433901
599,1.056502778,0.491131362
600,0.877416751,0.613902865
601,1.200086539,0.567799942
602,0.479723054,0.54951301
603,1.22848959,0.685679873
604,0.386398342,0.40699257
605,1.097682332,0.699432827
606,0.776009823,0.41369823
607,1.297465556,0.652390708
608,0.139611616,0.440608037
609,0.499972256,0.744995704
610,1.249972253,0.4734611
611,0.312597111,0.589354525
612,0.957237583,0.693137421
613,1.080038961,0.453679474
614,0.820703373,0.6164513
615,1.262151413,0.576124859
616,0.269527085,0.531616909
617,0.860173791,0.727482752
618,1.220998312,0.420593857
619,0.411482615,0.596254699
620,1.137976633,0.670220585
621,0.666934082,0.44874179
622,1.333333119,0.674077877
623,8.58E-07,0.402441556
624,3.43E-06,0.745495178
625,1.37E-05,0.588168771
626,5.49E-05,0.750898927
627,0.000219669,0.579841375
628,0.000878531,0.755199115
629,0.00351181,0.572901903
630,0.014010242,0.757900773
631,0.055452106,0.565518597
632,0.212583615,0.75197132
633,0.71475908,0.528626804
634,1.326394693,0.655328918
635,0.027610129,0.430746386
636,0.108153557,0.756445386
637,0.397522651,0.545769068
638,1.116017829,0.701249871
639,0.727583931,0.406837036
640,1.322200594,0.656331545
641,0.044159143,0.430218782
642,0.170786484,0.754015394
643,0.595641866,0.535055709
644,1.318199766,0.672392912
645,0.059847193,0.408102185
646,0.228643714,0.741248485
647,0.757741013,0.542038062
648,1.308449724,0.642197098
649,0.097676856,0.451830343
650,0.36208512,0.754125677
651,1.055023577,0.490154552
652,0.880870064,0.614390879
653,1.195684048,0.566664108
654,0.493755166,0.551182397
655,1.243638172,0.682512884
656,0.334644981,0.408608332
657,1.002618133,0.70671844
658,0.994743169,0.422872904
659,1.010430759,0.626157895
660,0.97881208,0.529527324
661,1.041029056,0.611621825
662,0.912891738,0.538993773
663,1.151452976,0.617753087
664,0.628280035,0.511508827
665,1.328912733,0.674964453
666,0.017623777,0.40204072
667,0.069563314,0.743055839
668,0.26373609,0.575840241
669,0.846274186,0.710089944
670,1.236556751,0.451884323
